tool_model,task,inputs,outputs,human_review,disclosure_location,confidentiality_approval_status
GPT-5 Codex,corrected learning-gradient metaphor leakage and added beginner-facing visual slide forms,管理世界-AI4SS-workshop.html; research-slides-builder skill; lecture-deck-enrich skill,管理世界-AI4SS-workshop.html; docs/ai_use_ledger.csv,Researcher clarified that the numeric small-action metaphor was internal guidance not student-facing language; Codex removed visible numeric metaphor terms and converted selected pages into chat window agent trace receipt spreadsheet preview and slide thumbnail forms,classroom_note,cleared
GPT-5 Codex,added point-illustrating mechanism animations and diagrams to AI4SS workshop deck,管理世界-AI4SS-workshop.html; Reveal.js docs; MDN reduced-motion guidance; research-slides-builder skill; lecture-deck-enrich skill,管理世界-AI4SS-workshop.html; docs/ai_use_ledger.csv,Researcher clarified that desired animations should illustrate mechanisms rather than slide transitions; Codex added agent-loop rule-growth evidence-chain time-route claim-filter and responsibility-map diagrams with reduced-motion fallback,classroom_note,cleared
GPT-5 Codex,reduced line-by-line text density in M1 material and stop-point pages,管理世界-AI4SS-workshop.html; Mayer redundancy principle references; NN/g visual hierarchy guidance; research-slides-builder skill; lecture-deck-enrich skill,管理世界-AI4SS-workshop.html; docs/ai_use_ledger.csv,Researcher flagged that pages still looked like rows of text; Codex converted slides 29 to 37 from tables and paragraph blocks into visual tiles tickets ladders stop cards run notes signal cards repeat road and folder chips,classroom_note,cleared
GPT-5 Codex,ran full-deck AI-hard-flaw language audit and cleaned formulaic courseware phrasing,管理世界-AI4SS-workshop.html; humanizer skill; research-slides-builder skill; lecture-deck-enrich skill,管理世界-AI4SS-workshop.html; docs/ai_use_ledger.csv,Researcher asked whether the whole HTML was free of AI writing hard flaws; Codex audited paired not-but constructions core-knowledge labels process leaks long slides and forbidden terms then replaced high-risk formulaic phrasing while preserving slide counts and module structure,classroom_note,cleared
GPT-5 Codex,grounded AI4SS local skillpack in a unified research-design methodology spine,AGENTS.md; docs/skillpack_workflow_contract.md; docs/skillpack_gap_map.md; docs/scholar_workbenches.md; docs/methodology_foundations.md; docs/methodology_source_matrix.csv; local SKILL.md files; DeclareDesign and research-design source anchors,docs/methodology_foundations.md; docs/methodology_source_matrix.csv; docs/skillpack_workflow_contract.md; docs/skillpack_gap_map.md; docs/scholar_workbenches.md; local SKILL.md files; scripts/validate_methodology_foundations.py; scripts/validate_skillpack_workflow.py; AGENTS.md; docs/ai_use_ledger.csv,Researcher argued that methodology framework matters more than scattered methods citations; Codex reframed the pack around Declare MIDA Diagnose Redesign Report and preserved AI writing boundaries,classroom_note,cleared
GPT-5 Codex,audited whether the AI4SS skillpack methodology foundation is substantively solid or merely agent self-talk,AGENTS.md; docs/methodology_foundations.md; docs/methodology_source_matrix.csv; docs/skillpack_workflow_contract.md; docs/skillpack_gap_map.md; skills; local validators; DeclareDesign and APSR research-design sources,docs/methodology_foundation_audit.md; docs/ai_use_ledger.csv,Researcher requested a comprehensive audit of methodology solidity; Codex checked external framework grounding local schemas validators and examples then documented findings and remaining weaknesses,classroom_note,cleared
GPT-5 Codex,hardened AI4SS skillpack methodology foundation by moving MIDA from prose into schemas validators examples and contracts,docs/methodology_foundation_audit.md; docs/methodology_foundations.md; docs/methodology_source_matrix.csv; docs/skillpack_workflow_contract.md; skills; local validators; DeclareDesign research-design spine,skills; docs/methodology_foundation_audit.md; docs/methodology_foundations.md; docs/methodology_source_matrix.csv; docs/skillpack_workflow_contract.md; docs/skillpack_gap_map.md; AGENTS.md; scripts/validate_methodology_foundations.py; docs/ai_use_ledger.csv,Researcher challenged whether the methodology basis was solid; Codex converted audit findings into validator-enforced MIDA sidecars while preserving author responsibility and specialist-methods watchlist,classroom_note,cleared
GPT-5 Codex,rewrote visible slide narration from prep-language to lecture-language,管理世界-AI4SS-workshop.html; user screenshot feedback; research-slides-builder skill; lecture-deck-enrich skill; humanizer skill,管理世界-AI4SS-workshop.html; docs/ai_use_ledger.csv,Researcher flagged that slide language sounded like instructor preparation notes rather than classroom-facing lecture language; Codex audited visible deck text and replaced prep-facing labels with learner-facing explanations,classroom_note,cleared
GPT-5 Codex,rewrote AI4SS deck around explicit agent architecture vocabulary and loop across M1-M4,管理世界-AI4SS-workshop.html; EVAL.md; OpenAI Codex Skills customization and AGENTS.md docs; Model Context Protocol resources prompts tools docs; user feedback on missing skill mcp context llm prompt loop,管理世界-AI4SS-workshop.html; docs/ai_use_ledger.csv,Researcher challenged that an Agent course must explicitly teach Skill MCP context LLM prompt and loop; Codex rewrote 34 visible slides so those terms form the M1-M4 structure rather than isolated mentions,classroom_note,cleared
GPT-5 Codex,recorded Codex Claude Code coding-agent frontier source notes for future AI4SS deck rewrite,OpenAI Codex docs and blog; Claude Code docs; MCP and AGENTS references; practitioner posts and community discussions,docs/coding_agent_frontier_sources.md; docs/ai_use_ledger.csv,Researcher asked to preserve search results before rewriting later modules; Codex separated official mechanisms tutorials community practice and slide implications,classroom_note,cleared
GPT-5 Codex,expanded coding-agent frontier notes with agent-usage-focused latest dynamics,OpenAI Codex best practices; Claude Code best practices memory MCP docs; GitHub Copilot cloud agent docs; MCP spec; Amp manual; user narrowing request,docs/coding_agent_frontier_sources.md; docs/ai_use_ledger.csv,Researcher asked to focus on agent usage rather than broad tool news; Codex recorded task-session verification context Skill MCP subagent remote-session permission patterns,classroom_note,cleared
GPT-5 Codex,expanded coding-agent frontier notes with latest practical usage insights from multiple angles,AGENTS.md impact studies; spec-driven agent workflow essays; async agent usage posts; Anthropic social science coding-agent report; SocSci-Repro-Bench; MCP security guidance; scientist agent workflow posts,docs/coding_agent_frontier_sources.md; docs/ai_use_ledger.csv,Researcher requested several more search rounds for latest useful agent-use material; Codex recorded practical implications for AGENTS.md spec verification async research tasks social-science replication MCP security and agent queues,classroom_note,cleared
GPT-5 Codex,reorganized coding-agent frontier source note from chronological search log into deck-ready synthesis,docs/coding_agent_frontier_sources.md; prior official docs research reports practitioner sources community notes,docs/coding_agent_frontier_sources.md; docs/ai_use_ledger.csv,Researcher asked to整理流水账; Codex rewrote source note into conclusions usage patterns module rewrite implications source tiers and slide rewrite rules,classroom_note,cleared
GPT-5 Codex,rewrote AI4SS M2-M4 deck pages around social-science agentic research loop,管理世界-AI4SS-workshop.html; docs/coding_agent_frontier_sources.md; EVAL.md; user feedback on social-science language and beginner Agent framing,管理世界-AI4SS-workshop.html; docs/ai_use_ledger.csv,Researcher requested coding-agent knowledge be fused with social-science language; Codex rewrote M2-M4 around context observation verification Skill MCP and research boundaries then ran forbidden-language term HTML and render checks,classroom_note,cleared
GPT-5 Codex,added AI4SS analysis-readiness gate for autonomous research factory workflow,AGENTS.md; docs/ai4ss_dsl_factory_integration.md; docs/skillpack_workflow_contract.md; docs/skillpack_gap_map.md; docs/methodology_source_matrix.csv; research-analysis-runner skill; ai4ss-skills README roadmap,analysis_readiness_check.csv schema; validate_analysis_readiness.py; updated analysis manifest schema; docs and validators; docs/ai_use_ledger.csv,Researcher reset goal around unified .aiss DSL autonomous research factory; Codex added a hard regression-ready style gate before analysis execution and validated schema examples and workflow checks,classroom_note,cleared
GPT-5 Codex,added deterministic literature evidence compiler gate for AI4SS DSL workflow,AGENTS.md; docs/ai4ss_dsl_factory_integration.md; docs/skillpack_gap_map.md; docs/skillpack_workflow_contract.md; docs/methodology_source_matrix.csv; literature-matrix skill; ai4ss-skills compile_evidence.py,literature evidence compile schema fields; compile_literature_evidence.py; validate_literature_evidence_compile.py; valid evidence markdown and compiled .aiss fixture; docs and validators; docs/ai_use_ledger.csv,Researcher reset goal around unified .aiss DSL autonomous research factory; Codex wired source evidence rows to deterministic upstream evidence compilation and checker validation while preserving disclosure-gated review-text boundary,classroom_note,cleared
GPT-5 Codex,replaced repeated M2-M4 AI4SS deck template bodies with distinct beginner-facing agentic social-science teaching pages,管理世界-AI4SS-workshop.html; EVAL.md; docs/coding_agent_frontier_sources.md; lecture-deck-enrich skill; user feedback on repeated titles with identical content,管理世界-AI4SS-workshop.html; docs/ai_use_ledger.csv,Researcher flagged that many pages had different titles but repeated bodies; Codex rewrote all M2-M4 page bodies and verified zero template hits zero exact duplicate bodies zero near-duplicate pairs and zero forbidden-language hits,classroom_note,cleared
GPT-5 Codex,added factory-level structural evaluation for unified .aiss autonomous research workflow,AGENTS.md; docs/ai4ss_dsl_factory_integration.md; docs/skillpack_gap_map.md; docs/scholar_workbenches.md; scripts/run_factory_level_eval.py; scripts/validate_skillpack_workflow.py,docs/factory_level_eval protocol packets gate matrix scores report; updated docs and workflow validator; docs/ai_use_ledger.csv,Researcher reset goal around unified .aiss DSL autonomous research factory; Codex added deterministic full-chain evaluation while stating that live independent human-graded evaluation remains a stronger future test,classroom_note,cleared
GPT-5 Codex,unified local research-model artifact extension to .aiss in ai4ss-skills repo,AGENTS.md; README.md; docs; scripts; skills; docs/examples/research_model.aiss; literature evidence fixture,renamed .ai4ss fixtures to .aiss; updated validators docs examples generated eval text and AI-use ledger,Researcher requested extension unification to aiss; Codex kept AI4SS project naming while making .aiss the only local research-model artifact extension,classroom_note,cleared
GPT-5 Codex,fused AISS PaperAST and research-model layers into one v0.4 .aiss workflow DSL,AGENTS.md; README.md; docs; references/dsl/dsl-spec.md; dsl/scripts; scripts; skills; docs/examples/research_model.aiss; literature evidence fixture,updated unified v0.4 parser contract validators evidence compiler fixtures conformance tests skillpack docs and factory evaluation generator,Researcher requested no compatibility and one organic DSL for the whole skillpack; Codex made aiss.py compile lint run the single validation entrypoint while preserving the manuscript disclosure boundary in force at the time,classroom_note,cleared
GPT-5 Codex,upgraded route MIDA and decision sidecars into projections of the unified .aiss workflow DSL,AGENTS.md; docs/appserver_behavior_tests.md; research-starter and study-design-builder skills; docs; validators; examples; factory eval generator,added route_decl_id mida_id and decision_decl_id gates; updated schema docs examples methodology docs workflow contract gap map and regenerated factory eval outputs,Researcher asked whether starter and design builder help blank-slate users and requested appserver behavior testing before merging the two DSL layers; Codex kept sidecars human-readable while making .aiss v0.4 the canonical workflow object,classroom_note,cleared
GPT-5 Codex,redesigned ai4ss-skills GitHub homepage as a release-grade AI4SS research factory landing page,README.md; AGENTS.md; docs/skillpack_workflow_contract.md; docs/scholar_workbenches.md; docs/ai4ss_dsl_factory_integration.md; docs/methodology_foundations.md; docs/factory_level_eval/unblinded_report.md; docs/live_blind_skill_use_eval/unblinded_report.md; docs/evals/cleaning-contract/iteration-1/benchmark.md,README.md; docs/ai_use_ledger.csv,Researcher said the earlier README missed the repo function and ambition and asked for much stronger GitHub homepage layout; Codex rewrote the page around the computable research object .aiss v0.4 MIDA factory diagram workbench map unified skills tree evidence reports validation commands and honest disclosure-gated manuscript boundaries,classroom_note,cleared
GPT-5 Codex,implemented gpt-image-2 visual README redesign for ai4ss research factory,DESIGNPLAN.md; README.md; docs/assets/readme; docs/skillpack_workflow_contract.md; docs/ai4ss_dsl_factory_integration.md; docs/factory_level_eval/unblinded_report.md; docs/live_blind_skill_use_eval/unblinded_report.md; docs/evals/cleaning-contract/iteration-1/benchmark.md,README.md; DESIGNPLAN.md; docs/assets/readme/*.png; docs/ai_use_ledger.csv,Researcher requested DESIGNPLAN implementation and specifically asked all README assets use gpt-image-2; Codex generated local PNG hero factory stack workflow timeline aiss object map and evidence dashboard assets then restructured README while preserving exact evidence metrics validation commands unified skills tree and disclosure-gated manuscript boundaries,classroom_note,cleared
GPT-5 Codex,removed non-semantic generated README images from ai4ss-skills,README.md; DESIGNPLAN.md; docs/assets/readme/*.png; docs/ai_use_ledger.csv,README.md; DESIGNPLAN.md; docs/assets/readme/*.png; docs/ai_use_ledger.csv,Researcher judged the AI-generated README images meaningless and asked to delete them; Codex removed all generated PNG references and files then revised the README design plan to require auditable repo-native visuals instead of decorative generated assets,classroom_note,cleared
GPT-5 Codex,added semantic SVG logo and README header for ai4ss-skills,README.md; DESIGNPLAN.md; docs/assets/readme/ai4ss-logo.svg; docs/assets/readme/ai4ss-header.svg; docs/ai_use_ledger.csv,README.md; DESIGNPLAN.md; docs/assets/readme/ai4ss-logo.svg; docs/assets/readme/ai4ss-header.svg; docs/ai_use_ledger.csv,Researcher clarified that the README needs logo and head image comparable to popular open-source projects; Codex added editable SVG assets with literal AI4SS research-factory pipeline labels and updated the design plan to allow semantic repo-native brand assets while rejecting decorative generated art,classroom_note,cleared
GPT-5 Codex,added lightweight literature-to-theory synthesis handoff inside the AI4SS research-factory skillpack,AGENTS.md; literature-matrix and study-design-builder skills; docs/methodology_source_matrix.csv; docs/skillpack_workflow_contract.md; docs/methodology_foundations.md; scripts/run_factory_level_eval.py,added literature_theory_synthesis.csv schema reference validator examples methodology gates factory-eval theory case and study-design-builder consumption rules while preserving no-new-skill and no-new-DSL boundaries,Researcher asked to implement the agreed plan for strengthening literature-to-theory mapping without creating a separate theory skill; Codex made the handoff auditable through source rows proposed .aiss objects rival or boundary notes observable implications and author decisions,classroom_note,cleared
GPT-5 Codex,implemented reusable theory workbench engine across existing AI4SS research-factory skills,AGENTS.md; literature-matrix; study-design-builder; methods-reviewer; academic-writing-scaffold; ai4ss factory contracts; compile_evidence.py; methodology docs; factory eval,theory_rival_map.csv and theory_scope_map.csv contracts; validate_theory_workbench.py; theory workbench examples; theory_evidence.md compile path; author workbench template; methodology and factory eval gates,Researcher requested a final usable theory engine without a new top-level skill or new DSL; Codex reused existing sidecars workflow validators compile_evidence methods issue table author workbench and .aiss declarations while preserving disclosed AI-assisted theory workbench status,classroom_note,cleared
GPT-5 Codex,refined ai4ss-skills GitHub homepage using taste-skill design audit,README.md; docs/assets/readme/ai4ss-header.svg; taste-skill; AGENTS.md,README.md; docs/assets/readme/ai4ss-header.svg; docs/ai_use_ledger.csv,Researcher asked to use taste-skill to raise homepage design quality; Codex reframed the README as research infrastructure first and rebuilt the semantic SVG header while preserving evidence metrics validation paths and bounded-claims and AI-disclosure language,classroom_note,cleared
GPT-5 Codex,hardened AI4SS research-factory skills against runtime failures from growth-project use,July 4 Codex session logs for the economic growth project; research-starter; research-data-builder; research-analysis-runner; literature-matrix; methods-reviewer; did-expert; r-performance,runtime contract CLI; validator import-path bootstrap; schema duplicate-key and output-freshness checks; installed-skill validation,Researcher requested fixes for same-day project errors rather than classroom-demo or dependency-downgrade work; Codex patched executable checks and verified pass fail behavior plus validator reruns,not_applicable,cleared
GPT-5 Codex,removed legacy research-factory sidecar workflow path and made .aiss the only workflow state,AGENTS.md; research-factory SKILL.md files; methodology docs; factory eval generator; validation scripts; docs/examples/research_model.aiss,updated .aiss-only workflow contracts; removed legacy sidecar validators and examples; regenerated factory eval package; updated AI4SS validation commands,Researcher rejected execution paths that bypass AI4SS and clarified derived Markdown should be removed while source docs remain; Codex kept ordinary evidence artifacts but made durable state live in .aiss declarations,classroom_note,cleared
GPT-5 Codex,updated AI4SS skill boundaries for end-to-paper transparency standards,AGENTS.md; README.md; research-factory SKILL.md files; workflow contract; methodology matrix; factory eval generator; TOP transparency practices; OSF preregistration; FAIR workflow principles,added registration protocol analysis-plan materials data code reporting FAIR metadata deviation-log replication-package and manuscript-package transparency boundaries later superseded by the AI-disclosed working-text gate,Researcher asked to modify skill boundaries after audit found weak final-paper package coverage; Codex mapped current transparency standards to existing skills and validators then reran workflow methodology AI-use .aiss and factory eval checks,classroom_note,cleared
GPT-5 Codex,migrated AI4SS skillpack manuscript boundary to AI-disclosed working-text gate,AGENTS.md; README.md; research-factory SKILL.md files; skill references; workflow contract; methodology matrix; factory eval scripts; validation scripts,removed obsolete manuscript-boundary language; added AI contribution disclosure human accountability submission policy check and direct-submission status as the sole manuscript-facing boundary,Researcher requested全面迁移旧边界 and大幅松绑 skill boundaries so AI can participate in drafting revision and manuscript package work while hidden-AI direct submission remains blocked,classroom_note,cleared
